item_id,item_name,category,price
2000,高品质平板电脑,电子产品,74.41
2001,高品质工具书,图书文具,485.38
2002,经典蓝牙音箱,电子产品,684.94
2003,迷你移动电源,电子产品,203.0
2004,高品质咖啡,食品饮料,639.71
2005,便携笔记本,图书文具,178.13
2006,经典钢笔,图书文具,210.96
2007,迷你抱枕,家居用品,627.22
2008,时尚无线耳机,电子产品,977.27
2009,智能笔记本,图书文具,64.43
2010,多功能钢笔,图书文具,740.88
2011,迷你手链,服装配饰,317.04
2012,便携创意文具,图书文具,236.72
2013,多功能收纳盒,家居用品,84.9
2014,高品质工具书,图书文具,214.06
2015,高品质创意文具,图书文具,155.67
2016,高级创意文具,图书文具,101.63
2017,智能笔记本,图书文具,776.92
2018,高级果干,食品饮料,807.54
2019,时尚工具书,图书文具,658.23
2020,迷你保温杯,家居用品,852.7
2021,智能智能手表,电子产品,127.88
2022,智能果干,食品饮料,705.68
2023,智能钱包,服装配饰,421.86
2024,高品质帽子,服装配饰,93.03
2025,智能帽子,服装配饰,770.17
2026,便携围巾,服装配饰,596.06
2027,便携台灯,家居用品,247.19
2028,便携钱包,服装配饰,830.62
2029,时尚果干,食品饮料,40.5
